,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
106,Mumbai,"North Indian, South Indian, Assamese, Maharashtrian, Bengali",200,50,NEW,-,-,30 
107,Noida,"North Indian, Lucknowi",200,50,2.8,150,89,45 
108,Delhi,"Fast Food, Beverages",150,50,3.7,35,21,30 
109,Noida,North Indian,100,50,3.0,7,1,30 
110,Pune,North Indian,200,50,3.3,28,9,30 
111,Bangalore,Pizza,200,50,3.5,87,37,45 
112,Noida,"Chinese, Fast Food",150,50,3.5,187,65,30 
113,Pune,"Desserts, Ice Cream",100,50,2.6,28,13,30 
114,Pune,"North Indian, Chinese, Street Food",150,50,2.8,-,-,30 
115,Pune,Fast Food,150,50,3.0,4,-,30 
116,Delhi,"North Indian, Fast Food",300,50,3.5,15,7,30 
117,Bangalore,"Beverages, Cafe, Sandwich, Fast Food, Desserts",250,50,3.8,118,69,45 
118,Bangalore,"North Indian, Mughlai",150,50,NEW,-,-,30 
119,Bangalore,North Indian,150,50,-,-,-,30 
120,Bangalore,"Street Food, Beverages",100,50,-,-,-,30 
121,Noida,Bakery,200,50,3.1,12,2,30 
122,Delhi,North Indian,300,50,4.2,-,-,45 
123,Pune,"German, Italian, Cafe",450,50,4.3,4691,2547,45 
124,Bangalore,"North Indian, South Indian, Chinese, Arabian",350,50,3.1,89,10,30 
125,Gurgaon,North Indian,100,50,3.9,70,9,30 
126,Gurgaon,"North Indian, Mughlai",150,50,3.1,9,2,30 
127,Gurgaon,Mithai,50,50,2.8,11,2,30 
128,Bangalore,"Burger, Fast Food",200,50,3.8,349,159,45 
129,Pune,"Finger Food, North Indian",300,50,3.0,6,1,30 
130,Noida,"North Indian, Chinese",250,99,4.5,143,110,65 
131,Noida,Bakery,150,50,3.2,7,3,30 
132,Bangalore,"Fast Food, Beverages",100,50,-,-,-,30 
133,Delhi,"North Indian, South Indian, Fast Food, Beverages",150,50,3.6,81,42,30 
134,Mumbai,Street Food,50,50,3.7,63,36,45 
135,Noida,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",200,50,3.4,417,181,45 
136,Mumbai,"Street Food, Fast Food",150,50,3.4,20,16,30 
137,Noida,Chinese,150,50,4.2,124,109,30 
138,Pune,"Fast Food, Street Food, Momos",100,50,3.3,12,1,30 
139,Gurgaon,"North Indian, Fast Food",200,50,2.9,47,10,45 
140,Bangalore,"Street Food, Fast Food",100,50,4.0,242,179,65 
141,Pune,"Italian, Beverages",300,50,3.5,12,5,30 
142,Noida,Mughlai,150,50,3.4,9,2,30 
143,Pune,Fast Food,100,50,-,-,-,30 
144,Noida,"Biryani, North Indian, Mughlai, Kebab, Rolls",250,99,4.7,706,490,30 
145,Hyderabad,South Indian,50,50,4.0,109,28,30 
146,Pune,Desserts,150,50,4.4,584,343,45 
147,Delhi,"Fast Food, Rolls, Beverages",150,50,3.6,37,16,30 
148,Delhi,"Street Food, Fast Food",150,50,4.3,253,118,30 
149,Bangalore,"North Indian, Chinese",150,50,3.4,123,37,30 
150,Pune,"Chettinad, North Indian, Seafood",200,50,4.1,1665,690,30 
151,Pune,"Ice Cream, Fast Food",150,50,3.3,9,3,30 
152,Delhi,"Pizza, Burger, Fast Food, Desserts",200,50,3.9,191,72,45 
153,Gurgaon,"Biryani, Mughlai",100,50,-,-,-,30 
154,Bangalore,"Chinese, South Indian, North Indian",250,50,3.0,4,2,30 
155,Noida,South Indian,150,50,3.5,40,6,30 
156,Pune,"North Indian, Street Food, Desserts",150,50,4.0,696,296,45 
157,Mumbai,"Bakery, Desserts",150,50,3.8,72,33,45 
158,Gurgaon,"Chinese, Fast Food, North Indian, Momos",200,99,4.0,334,164,45 
159,Noida,"Cafe, Desserts",200,50,NEW,-,-,30 
160,Noida,"North Indian, Mughlai, Momos",250,50,3.8,173,29,45 
161,Mumbai,Juices,100,50,3.1,5,2,30 
162,Kolkata,"Desserts, Beverages",200,50,4.1,62,50,30 
163,Kolkata,"Chinese, North Indian",100,50,3.8,85,27,30 
164,Kolkata,"Sandwich, Italian, Desserts",250,50,3.8,224,129,45 
165,Noida,Mughlai,200,50,-,-,-,30 
166,Gurgaon,North Indian,100,50,-,-,-,30 
167,Delhi,"Cafe, Italian",600,50,4.2,2653,1581,65 
168,Pune,"North Indian, Chinese",150,50,-,-,-,30 
169,Delhi,"North Indian, Chinese, Rolls",150,50,4.8,326,234,30 
170,Pune,"Bengali, Fast Food",300,50,3.5,90,45,45 
171,Pune,"North Indian, Street Food",200,50,3.9,175,59,45 
172,Pune,North Indian,150,50,3.1,4,-,30 
173,Bangalore,"Ice Cream, Desserts",200,50,4.1,-,-,30 
174,Delhi,Mithai,100,50,3.3,15,7,30 
175,Mumbai,"Parsi, Bakery",200,50,4.0,4335,2363,30 
176,Mumbai,"Japanese, Sushi",400,50,3.6,163,72,45 
177,Noida,"North Indian, Chinese",550,50,3.4,53,24,30 
178,Gurgaon,"Beverages, Desserts, Ice Cream",150,50,2.9,6,2,45 
179,Delhi,Rolls,50,50,3.1,6,2,30 
180,Mumbai,"North Indian, South Indian, Chinese, Fast Food",350,50,3.0,19,5,45 
181,Bangalore,"North Indian, Chinese",150,99,3.9,216,115,45 
182,Gurgaon,"North Indian, Chinese",200,50,3.7,45,12,45 
183,Pune,"North Indian, Chinese",200,50,3.8,302,138,45 
184,Mumbai,North Indian,150,50,2.8,16,8,45 
185,Mumbai,"Fast Food, Chinese",200,50,3.1,76,36,45 
186,Delhi,Street Food,100,50,3.1,4,1,30 
187,Pune,"Ice Cream, Fast Food, Beverages",150,50,NEW,-,-,30 
188,Pune,South Indian,150,50,3.6,87,45,45 
189,Gurgaon,Cafe,200,50,3.3,9,1,30 
190,Kolkata,"Chinese, Fast Food",100,50,3.2,12,7,30 
191,Bangalore,"Chinese, Fast Food, North Indian, Mughlai",300,50,3.4,298,175,65 
192,Bangalore,Desserts,150,50,3.6,18,3,45 
193,Mumbai,"Fast Food, Street Food, Beverages",150,50,3.7,77,39,45 
194,Kolkata,"Fast Food, American",150,50,3.5,101,53,45 
195,Mumbai,"Fast Food, Mughlai",100,50,3.9,116,66,45 
196,Pune,"Fast Food, Biryani, Beverages",200,50,-,-,-,30 
197,Pune,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",650,50,4.4,3248,1603,45 
198,Noida,"Chinese, North Indian",200,50,3.6,125,29,30 
199,Delhi,"Pizza, Beverages",350,50,3.3,11,6,30 
200,Kolkata,"Beverages, Juices, Fast Food",100,50,3.6,31,15,30 
201,Gurgaon,North Indian,150,50,3.0,4,1,30 
202,Bangalore,"Chinese, North Indian",150,50,3.1,192,50,45 
203,Bangalore,"Cafe, Continental, Italian",400,50,4.2,2828,1443,45 
204,Noida,"Bakery, Desserts",150,50,3.2,6,4,30 
205,Delhi,"Japanese, Sushi, Asian",800,50,4.2,721,390,45 
206,Hyderabad,"North Indian, Mughlai",150,50,3.3,4,2,30 
207,Noida,"North Indian, Mughlai",200,50,3.7,66,42,30 
208,Noida,"Chinese, Fast Food, Momos",150,50,-,-,-,30 
209,Bangalore,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",150,50,3.5,45,29,45 
210,Mumbai,Burger,200,50,NEW,-,-,30 
211,Pune,South Indian,150,50,3.9,219,108,30 
212,Mumbai,"Salad, Beverages, Healthy Food, Desserts",200,50,3.5,36,24,65 
213,Bangalore,"Ice Cream, Cafe, Pizza, Burger, Beverages",200,50,4.5,2805,1457,45 
214,Bangalore,"Asian, Biryani, North Indian, Desserts",200,50,4.1,37,30,45 
215,Gurgaon,"Continental, Burger, Wraps, Beverages",150,50,4.0,34,27,30 
216,Delhi,"Fast Food, Chinese",150,50,NEW,-,-,30 
217,Pune,Street Food,100,50,NEW,-,-,30 
218,Hyderabad,Chinese,100,50,-,-,-,30 
219,Gurgaon,"Mithai, Street Food, Chinese",150,50,3.3,35,16,65 
220,Bangalore,"North Indian, Mughlai",150,50,NEW,-,-,30 
221,Noida,"North Indian, Chinese",250,50,2.8,27,11,30 
222,Bangalore,"Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",250,50,3.9,163,112,30 
223,Mumbai,"South Indian, North Indian, Fast Food",200,50,3.7,182,107,45 
224,Bangalore,"Chinese, North Indian, Street Food",150,50,NEW,-,-,30 
225,Pune,"Chinese, Cantonese","1,000",50,4.7,441,259,30 
226,Delhi,"North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,-,-,30 
227,Gurgaon,"Fast Food, Chinese",150,50,3.5,26,6,30 
228,Pune,Street Food,100,50,-,-,-,30 
229,Pune,"Maharashtrian, South Indian, Chinese",150,50,3.3,12,7,30 
230,Noida,Bakery,50,50,3.2,11,1,30 
231,Mumbai,Mithai,100,99,3.9,60,15,45 
232,Bangalore,"North Indian, South Indian, Fast Food",100,50,-,-,-,30 
233,Kolkata,"Biryani, Mughlai",100,50,3.6,353,53,30 
234,Bangalore,"Chinese, North Indian",100,50,-,-,-,30 
235,Delhi,"North Indian, Rolls",100,50,3.6,27,12,30 
236,Noida,"Pizza, Fast Food",150,50,3.7,43,9,30 
237,Kolkata,Bengali,150,50,-,-,-,30 
238,Mumbai,Fast Food,100,50,3.3,10,4,30 
239,Bangalore,"Chinese, Thai",200,50,3.5,13,9,30 
240,Noida,"North Indian, Chinese, Mughlai",300,50,3.4,47,25,30 
241,Delhi,"North Indian, Fast Food",100,50,3.3,10,-,30 
242,Bangalore,"Mithai, Street Food",150,50,3.4,13,1,30 
243,Bangalore,"Tibetan, Chinese, Momos",250,50,4.2,633,269,45 
244,Gurgaon,"Fast Food, Burger",150,50,3.5,23,6,30 
245,Pune,"Street Food, Fast Food, Beverages",150,50,3.4,13,10,45 
246,Mumbai,Bakery,300,50,3.8,77,52,30 
247,Noida,"North Indian, Chinese",300,50,-,-,-,30 
248,Gurgaon,"North Indian, Fast Food, Chinese",200,50,NEW,-,-,30 
249,Kolkata,"Cafe, Desserts",300,50,3.6,54,34,30 
250,Delhi,"Cafe, Fast Food",200,50,-,-,-,30 
251,Noida,"Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai",200,50,3.7,112,41,30 
252,Noida,"Fast Food, Healthy Food",100,50,NEW,-,-,10 
253,Bangalore,"North Indian, Chinese",150,50,-,-,-,30 
254,Noida,"North Indian, Chinese, Mughlai",250,50,3.6,76,38,30 
255,Noida,Biryani,100,50,NEW,-,-,30 
256,Noida,"North Indian, Chinese",200,50,-,-,-,65 
257,Pune,"Italian, Fast Food",200,50,3.7,101,29,45 
258,Gurgaon,North Indian,150,50,4.1,144,33,30 
259,Bangalore,North Indian,100,50,3.5,49,7,30 
260,Noida,"Desserts, Bakery",150,50,3.5,20,16,30 
261,Mumbai,"Fast Food, Sandwich",100,50,3.0,4,1,30 
262,Mumbai,"Italian, Lebanese, North Indian",150,50,3.2,15,7,30 
263,Gurgaon,"North Indian, Mughlai, Beverages",150,50,-,-,-,30 
264,Delhi,"North Eastern, Momos, Fast Food, Beverages, Tibetan",100,50,2.9,-,-,30 
265,Mumbai,"Chinese, Mughlai, North Indian, Seafood, Biryani",200,50,3.8,426,196,45 
266,Pune,Ice Cream,100,50,4.0,61,40,30 
267,Kolkata,"Cafe, Spanish, Italian, Mexican, Salad, Juices",250,50,4.1,1307,794,45 
268,Pune,Salad,150,50,3.7,26,10,30 
269,Pune,"Chinese, North Indian, Mughlai",250,50,3.1,9,1,30 
270,Bangalore,"North Indian, South Indian",200,99,3.2,7,2,65 
271,Kolkata,"South Indian, Fast Food",100,50,-,-,-,30 
272,Bangalore,"Chinese, Sushi, Asian, Thai",650,50,4.4,925,589,30 
273,Bangalore,"South Indian, North Indian, Chinese",150,50,3.3,24,8,30 
274,Delhi,"North Indian, Rolls, Lebanese",250,50,3.4,40,7,45 
275,Pune,South Indian,100,50,3.6,33,8,30 
276,Pune,Maharashtrian,100,0,3.3,12,1,30 
277,Mumbai,"North Indian, Chinese",300,0,3.6,102,48,45 
278,Mumbai,"Chinese, North Indian",150,50,3.7,53,18,30 
279,Mumbai,"North Indian, South Indian, Chinese",200,50,3.4,47,6,65 
280,Delhi,"Continental, Pizza, Italian",250,50,3.9,297,145,45 
281,Mumbai,"Parsi, Bakery",200,50,4.0,4335,2363,30 
282,Delhi,"North Indian, Chinese, Fast Food",600,50,3.9,750,536,30 
283,Bangalore,Beverages,100,50,3.6,11,4,45 
284,Mumbai,Fast Food,100,50,3.8,110,53,30 
285,Noida,"Fast Food, Pizza, North Indian, Momos",200,50,4.1,479,247,45 
286,Noida,North Indian,100,50,3.3,15,1,30 
287,Noida,North Indian,200,50,2.4,19,11,30 
288,Gurgaon,"Bakery, Desserts, Mithai",200,50,-,-,-,30 
289,Bangalore,Fast Food,150,50,3.8,112,37,45 
290,Noida,"Mughlai, North Indian, Kebab, Rolls",350,50,3.6,67,11,30 
291,Bangalore,"North Indian, Chinese",350,50,3.6,34,18,30 
292,Hyderabad,South Indian,50,50,3.1,98,10,30 
293,Bangalore,North Indian,100,50,4.2,236,72,45 
294,Pune,"Street Food, Fast Food, North Indian",150,50,2.9,8,5,45 
295,Delhi,"Bakery, Desserts, Fast Food",200,50,3.5,32,10,30 
296,Delhi,"North Indian, South Indian",200,50,2.9,4,3,30 
297,Delhi,"North Indian, Continental, Chinese, Juices",100,50,3.4,25,20,30 
298,Mumbai,"Pizza, Fast Food",200,0,3.6,277,89,30 
299,Delhi,North Indian,250,50,3.1,5,-,30 
300,Mumbai,Chinese,200,50,3.4,25,17,30 
301,Noida,"North Indian, Chinese, South Indian, Fast Food",200,50,2.6,123,49,45 
302,Pune,"Fast Food, Beverages",100,50,NEW,-,-,45 
303,Bangalore,"Arabian, North Indian, Biryani, Chinese, Seafood",350,50,2.9,839,245,45 
304,Hyderabad,South Indian,100,50,3.5,237,2,45 
305,Mumbai,Desserts,100,50,-,-,-,30 
306,Bangalore,"North Indian, Chinese",100,50,3.4,29,23,65 
307,Delhi,"Burger, Fast Food",150,50,3.6,374,87,45 
308,Noida,"Fast Food, Pizza",200,50,3.3,32,3,45 
309,Pune,North Indian,100,50,-,-,-,30 
310,Pune,"North Indian, Chinese, Seafood",500,99,3.1,46,32,30 
311,Noida,"South Indian, Chinese",100,50,2.9,43,15,30 
312,Bangalore,"North Indian, Sandwich, Desserts, Beverages, Continental, Chinese, Biryani, Mughlai",200,50,3.9,59,31,30 
313,Mumbai,"Beverages, Desserts, Ice Cream",200,99,3.7,246,83,30 
314,Noida,"Mughlai, North Indian",150,50,3.6,36,12,30 
315,Delhi,"North Indian, Mughlai, Chinese",200,50,3.6,87,28,65 
316,Noida,"Chinese, North Indian",250,99,-,-,-,45 
317,Bangalore,"South Indian, Chinese",100,50,4.0,62,32,30 
318,Bangalore,"South Indian, North Indian, Chinese, Biryani",300,50,4.0,201,54,45 
319,Mumbai,Sandwich,100,50,3.5,44,4,45 
320,Kolkata,"Biryani, Fast Food",100,50,3.4,15,4,30 
321,Noida,"North Indian, Chinese",200,50,3.0,129,42,65 
322,Gurgaon,"North Indian, Mughlai",200,99,3.2,37,7,65 
323,Delhi,"Continental, Pizza, Italian",250,50,3.9,297,145,45 
324,Pune,Fast Food,150,50,-,-,-,30 
325,Pune,"Fast Food, Healthy Food",250,50,4.7,707,453,30 
326,Delhi,"Fast Food, Chinese",100,50,3.7,62,22,30 
327,Pune,"Biryani, North Indian",150,50,NEW,-,-,30 
328,Bangalore,North Indian,150,50,-,-,-,30 
329,Bangalore,"Cafe, Tea, Street Food",200,50,4.3,534,318,30 
330,Noida,"Chinese, Thai",200,99,4.1,258,99,45 
331,Delhi,Fast Food,100,50,-,-,-,30 
332,Bangalore,Juices,50,50,3.2,5,2,30 
333,Bangalore,"Biryani, North Indian, Chinese, Andhra, South Indian",300,50,4.3,313,205,30 
334,Gurgaon,"Pizza, Fast Food",300,50,3.7,530,165,45 
335,Pune,"Bar Food, North Indian, Italian, Continental",550,50,4.3,3394,1845,30 
336,Mumbai,"North Indian, Chinese, Italian, Finger Food, American",800,99,4.4,1102,766,30 
337,Delhi,North Indian,100,50,2.9,37,16,30 
338,Bangalore,"Biryani, Mughlai, North Indian, Chinese",200,50,3.1,25,9,30 
339,Bangalore,"Fast Food, Biryani, North Indian",200,50,-,-,-,30 
340,Pune,"North Indian, Chinese, Thai, European, Italian",650,50,3.6,186,114,30 
341,Pune,"Konkan, Maharashtrian",150,50,3.0,6,3,30 
342,Hyderabad,"Cafe, Beverages, Fast Food, Desserts",250,50,3.5,158,44,65 
343,Kolkata,Cafe,100,50,-,-,-,30 
344,Bangalore,"Odia, Bengali, Salad, North Indian",100,50,3.8,51,34,30 
345,Gurgaon,Biryani,200,50,NEW,-,-,30 
346,Delhi,South Indian,100,99,3.5,150,15,45 
347,Delhi,"Cafe, Beverages, Bakery",200,50,3.7,126,51,30 
348,Noida,"Italian, Pizza, Burger",200,50,3.8,78,44,30 
349,Hyderabad,"Bakery, Desserts, Ice Cream",150,50,3.9,76,22,45 
350,Noida,"North Indian, Chinese",150,50,3.3,16,10,65 
351,Delhi,North Indian,100,50,NEW,-,-,30 
352,Delhi,"North Indian, Fast Food",200,50,3.7,575,104,45 
353,Pune,Desserts,150,50,4.2,192,110,30 
354,Noida,"North Indian, Chinese, Fast Food",200,50,3.5,29,17,30 
355,Pune,"Desserts, Beverages",100,50,4.0,157,83,30 
356,Pune,"Ice Cream, Desserts",200,50,4.0,160,83,30 
357,Kolkata,"Fast Food, North Eastern, Momos",100,50,2.7,6,5,30 
358,Delhi,Pizza,150,50,3.5,4,1,30 
359,Noida,"North Indian, Chinese",300,50,3.3,69,26,30 
360,Noida,Rolls,100,50,3.4,14,8,45 
361,Bangalore,"North Indian, Mughlai",150,50,2.8,-,-,30 
362,Delhi,Tibetan,100,50,4.0,126,53,30 
363,Delhi,"North Indian, Chinese",300,50,4.3,1141,478,30 
364,Pune,Fast Food,100,99,3.3,12,1,30 
365,Gurgaon,"North Indian, Fast Food",100,50,2.7,22,4,45 
366,Pune,"Fast Food, Sandwich",150,50,4.0,107,32,30 
367,Kolkata,Beverages,100,50,4.1,139,70,30 
368,Mumbai,Fast Food,100,50,-,-,-,30 
369,Noida,Paan,50,50,NEW,-,-,30 
370,Bangalore,Ice Cream,100,50,-,-,-,30 
371,Noida,North Indian,100,50,3.5,22,13,30 
372,Bangalore,"Biryani, North Indian",200,50,3.8,58,45,20 
373,Bangalore,"Biryani, Kebab",100,50,3.7,14,3,30 
374,Bangalore,"Street Food, North Indian, Mithai",200,50,4.1,113,41,30 
375,Pune,"Pizza, Italian, Beverages",400,50,4.5,366,232,45 
376,Bangalore,"Beverages, Desserts, Juices",100,50,4.1,237,95,45 
377,Bangalore,"North Indian, Continental, Asian, Pizza",500,50,4.1,643,435,65 
378,Noida,North Indian,200,99,3.4,37,14,30 
379,Bangalore,"Juices, Beverages",50,50,3.4,9,1,30 
380,Noida,Rolls,100,50,NEW,-,-,30 
381,Pune,South Indian,100,50,2.8,6,2,30 
382,Hyderabad,"Continental, Desserts, Beverages, Sandwich",200,50,3.2,19,10,30 
383,Noida,"North Indian, Chinese",400,50,3.4,76,40,65 
384,Delhi,"Desserts, Ice Cream",200,50,4.0,65,39,30 
385,Pune,"Salad, European, Steak, Healthy Food, Beverages, Finger Food",550,50,4.2,1319,659,45 
386,Pune,"Ice Cream, Paan, Desserts",150,50,3.9,50,26,30 
387,Delhi,"North Indian, Chinese",250,50,3.5,179,53,45 
388,Noida,"North Indian, South Indian",150,50,-,-,-,30 
389,Bangalore,Desserts,150,50,3.7,-,-,30 
390,Delhi,"Chinese, Biryani",150,50,-,-,-,30 
391,Delhi,"Cafe, Chinese, Italian",300,99,4.1,803,554,45 
392,Bangalore,"Fast Food, Sandwich",100,50,3.8,26,6,45 
393,Noida,"Wraps, Fast Food",150,50,-,-,-,30 
394,Mumbai,"Lebanese, North Indian, Mediterranean, Biryani, Rolls, Fast Food",200,50,3.6,785,399,45 
395,Kolkata,"Street Food, Desserts",100,50,-,-,-,30 
396,Delhi,"Continental, Italian, North Indian, Chinese",200,50,3.8,286,77,30 
397,Delhi,"Continental, North Indian, Mughlai, Chinese, Italian",300,50,4.0,267,165,30 
398,Pune,"Biryani, North Indian, Maharashtrian",150,50,NEW,-,-,30 
399,Delhi,"American, Fast Food",200,50,3.8,80,27,30 
400,Delhi,Chinese,150,50,3.1,4,-,30 
